Kirjauspäivä;Määrä;Maksaja;Maksunsaaja;Nimi;Otsikko;Viitenumero;Saldo;Valuutta
Invalid date;-12,70;;;;Lidl Vantaa Vapaala;;;EUR
24.02.2021;-20,00;;;;ST1 Vantaa Virkatie;;;EUR
23.02.2021;-6,00;;;;Burger King Tuusula Ac;;;EUR
23.02.2021;-0,98;;;;S MARKET POHJOIS TAPIOLA;;;EUR
22.02.2021;12,40;;;;OB HOLDING 1 OU;;;EUR
22.02.2021;-22,10;;;;S MARKET JUVANKARTANO;;;EUR
22.02.2021;-4,59;;;;K CITYMARKET VANTAA JUMBO;;;EUR
22.02.2021;-15,41;;;;PRISMA SELLO;;;EUR
19.02.2021;-42,82;;;;STARS;;;EUR
19.02.2021;-19,66;;;;MOB.PAY*WESHARE;;;EUR
18.02.2021;-5,98;;;;K CITYMARKET VANTAA JUMBO;;;EUR
18.02.2021;-10,00;;;;NESTE EXPRESS HEL. ALA-TI;;;EUR
17.02.2021;-57,58;;;;MOB.PAY*WESHARE;;;EUR
16.02.2021;-5,90;;;;0447 NESTE JOROINEN JARI;;;EUR
16.02.2021;-5,50;;;;MOB.PAY*PETTERI MIIKKA MA;;;EUR
16.02.2021;-3,00;;;;1143 SKIBISTRO;;;EUR
16.02.2021;-1,49;;;;0447 NESTE JOROINEN JARI;;;EUR
15.02.2021;250,00;;;;ILMONEN PETRO OLAVI;;;EUR
15.02.2021;-11,90;;;;KOTIPIZZA RUKAT;;;EUR
15.02.2021;-8,50;;;;VFI*Hanki Baari Oy;;;EUR
15.02.2021;-8,83;;;;SALE RUKA;;;EUR
15.02.2021;-85,00;;;;PAYTRAIL OYJ;;;EUR
15.02.2021;-2,50;;;;K Market RukaValley;;;EUR
15.02.2021;-3,21;;;;PRISMA KUUSAMO;;;EUR
15.02.2021;-6,75;;;;HESBURGER;;;EUR
12.02.2021;-9,99;;;;PAYPAL *SPOTIFY;;;EUR
11.02.2021;-13,54;;;;PRISMA JUMBO;;;EUR
11.02.2021;-6,59;;;;K CITYMARKET VANTAA JUMBO;;;EUR
08.02.2021;-12,12;;;;LIDL HELSINKI TRIPLA;;;EUR
08.02.2021;-2,39;;;;K Supermarket Tripla;;;EUR
